country_or_dependency,population_2020,yearly_change,net_change,density_p/km²,land_area_km²,migrants_net,fert_rate,med_age,urban_pop_%,world_share,total_population,percentage,percentage_formatted,urban_pop,rural_pop
BELARUS,9448772,-0.03 %,-3088,47,202910,8730.0,1.7,40,79 %,0.12 %,7808449406,0.12,0.12%,"7,464,529.88","1,984,242.12"
AUSTRIA,9015361,0.57 %,51296,109,82409,65000.0,1.5,43,57 %,0.12 %,7808449406,0.12,0.12%,"5,138,755.77","3,876,605.23"
PAPUA NEW GUINEA,8975531,1.95 %,170915,20,452860,-800.0,3.6,22,13 %,0.11 %,7808449406,0.11,0.11%,"1,166,819.03","7,808,711.97"
SERBIA,8731081,-0.40 %,-34864,100,87460,4000.0,1.5,42,56 %,0.11 %,7808449406,0.11,0.11%,"4,889,405.36","3,841,675.64"
ISRAEL,8678517,1.60 %,136158,400,21640,10000.0,3.0,30,93 %,0.11 %,7808449406,0.11,0.11%,"8,071,020.81","607,496.19"
SWITZERLAND,8665615,0.74 %,63257,219,39516,52000.0,1.5,43,74 %,0.11 %,7808449406,0.11,0.11%,"6,412,555.10","2,253,059.90"
TOGO,8310934,2.43 %,196358,152,54390,-2000.0,4.4,19,43 %,0.11 %,7808449406,0.11,0.11%,"3,573,701.62","4,737,232.38"
SIERRA LEONE,8004158,2.10 %,163768,111,72180,-4200.0,4.3,19,43 %,0.10 %,7808449406,0.1,0.1%,"3,441,787.94","4,562,370.06"
HONG KONG,7507523,0.82 %,60827,7140,1050,29308.0,1.3,45,0,0.10 %,7808449406,0.1,0.1%,0.00,0
LAOS,7293542,1.48 %,106105,32,230800,-14704.0,2.7,24,36 %,0.09 %,7808449406,0.09,0.09%,"2,625,675.12","4,667,866.88"
PARAGUAY,7147553,1.25 %,87902,18,397300,-16556.0,2.4,26,62 %,0.09 %,7808449406,0.09,0.09%,"4,431,482.86","2,716,070.14"
BULGARIA,6939018,-0.74 %,-51674,64,108560,-4800.0,1.6,45,76 %,0.09 %,7808449406,0.09,0.09%,"5,273,653.68","1,665,364.32"
LIBYA,6887247,1.38 %,93840,4,1759540,-1999.0,2.3,29,78 %,0.09 %,7808449406,0.09,0.09%,"5,372,052.66","1,515,194.34"
LEBANON,6819976,-0.44 %,-30268,667,10230,-30012.0,2.1,30,78 %,0.09 %,7808449406,0.09,0.09%,"5,319,581.28","1,500,394.72"
NICARAGUA,6638075,1.21 %,79052,55,120340,-21272.0,2.4,26,57 %,0.08 %,7808449406,0.09,0.09%,"3,783,702.75","2,854,372.25"
KYRGYZSTAN,6542426,1.69 %,108345,34,191800,-4000.0,3.0,26,36 %,0.08 %,7808449406,0.08,0.08%,"2,355,273.36","4,187,152.64"
EL SALVADOR,6491923,0.51 %,32652,313,20720,-40539.0,2.1,28,73 %,0.08 %,7808449406,0.08,0.08%,"4,739,103.79","1,752,819.21"
TURKMENISTAN,6046292,1.50 %,89111,13,469930,-5000.0,2.8,27,53 %,0.08 %,7808449406,0.08,0.08%,"3,204,534.76","2,841,757.24"
